# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Thu Apr  8 17:44:48 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: LSST ugrizY, March 2012 total filter throughputs (all ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: luminosity functions
# age     Z  magbinc 	 mbolmag  umag    gmag    rmag    imag    zmag    Ymag
1e+10 0.00049  0.575  1.90e-05 1.79e-08 7.73e-05 1.90e-05 2.21e-05 2.29e-05 2.45e-05
1e+10 0.00049  0.625  2.08e-05 1.79e-08 3.14e-04 2.00e-05 2.23e-05 2.45e-05 2.38e-05
1e+10 0.00049  0.675  2.02e-05        0 2.03e-04 2.10e-05 2.45e-05 2.40e-05 2.59e-05
1e+10 0.00049  0.725  2.22e-05 1.79e-08 2.52e-05 2.24e-05 2.45e-05 2.59e-05 2.49e-05
1e+10 0.00049  0.775  2.21e-05 1.37e-05 1.62e-05 2.21e-05 2.56e-05 2.64e-05 2.82e-05
1e+10 0.00049  0.825  2.29e-05 1.20e-05 1.67e-05 2.31e-05 2.69e-05 2.87e-05 2.81e-05
1e+10 0.00049  0.875  2.45e-05 7.91e-06 1.73e-05 2.54e-05 2.75e-05 2.82e-05 2.95e-05
1e+10 0.00049  0.925  2.45e-05 1.08e-05 1.79e-05 2.45e-05 2.86e-05 2.95e-05 2.98e-05
1e+10 0.00049  0.975  2.69e-05 7.21e-06 1.89e-05 2.66e-05 2.95e-05 3.15e-05 3.13e-05
1e+10 0.00049  1.025  2.59e-05 3.31e-05 1.94e-05 2.69e-05 3.07e-05 3.13e-05 3.13e-05
1e+10 0.00049  1.075  2.92e-05 5.47e-05 2.05e-05 2.94e-05 3.12e-05 3.28e-05 3.37e-05
1e+10 0.00049  1.125  2.93e-05 4.64e-05 2.10e-05 2.92e-05 3.26e-05 3.45e-05 3.45e-05
1e+10 0.00049  1.175  2.95e-05 2.54e-05 2.26e-05 3.07e-05 3.45e-05 3.45e-05 3.52e-05
1e+10 0.00049  1.225  3.11e-05 2.53e-05 2.21e-05 3.08e-05 3.59e-05 3.72e-05 3.76e-05
1e+10 0.00049  1.275  3.26e-05 1.73e-05 2.47e-05 3.26e-05 3.60e-05 3.76e-05 3.76e-05
1e+10 0.00049  1.325  3.26e-05 1.62e-05 2.39e-05 3.38e-05 3.76e-05 3.78e-05 4.06e-05
1e+10 0.00049  1.375  3.56e-05 1.49e-05 2.64e-05 3.52e-05 3.93e-05 4.10e-05 4.10e-05
1e+10 0.00049  1.425  3.59e-05 1.51e-05 2.64e-05 3.59e-05 4.05e-05 4.10e-05 4.14e-05
1e+10 0.00049  1.475  3.67e-05 4.35e-05 2.77e-05 3.76e-05 4.10e-05 4.36e-05 4.42e-05
1e+10 0.00049  1.525  3.93e-05 5.25e-05 2.89e-05 3.93e-05 4.31e-05 4.59e-05 4.59e-05
1e+10 0.00049  1.575  3.77e-05 8.64e-05 3.06e-05 3.93e-05 4.59e-05 4.56e-05 4.74e-05
1e+10 0.00049  1.625  4.27e-05 3.61e-04 3.14e-05 4.27e-05 4.59e-05 4.81e-05 4.81e-05
1e+10 0.00049  1.675  4.28e-05 1.68e-04 3.18e-05 4.28e-05 4.96e-05 5.01e-05 4.80e-05
1e+10 0.00049  1.725  4.37e-05 2.60e-05 3.27e-05 4.54e-05 4.81e-05 5.04e-05 5.39e-05
1e+10 0.00049  1.775  4.59e-05 1.71e-05 3.51e-05 4.59e-05 5.08e-05 5.39e-05 5.16e-05
1e+10 0.00049  1.825  4.78e-05 1.76e-05 3.61e-05 4.78e-05 5.39e-05 5.27e-05 5.53e-05
1e+10 0.00049  1.875  5.01e-05 1.76e-05 3.73e-05 5.01e-05 5.39e-05 5.63e-05 5.63e-05
1e+10 0.00049  1.925  5.01e-05 1.86e-05 3.78e-05 5.01e-05 5.61e-05 5.88e-05 5.62e-05
1e+10 0.00049  1.975  5.34e-05 1.96e-05 4.09e-05 5.56e-05 5.88e-05 5.82e-05 6.04e-05
1e+10 0.00049  2.025  5.39e-05 2.02e-05 4.09e-05 5.39e-05 5.84e-05 6.28e-05 6.04e-05
1e+10 0.00049  2.075  5.35e-05 2.09e-05 4.22e-05 5.61e-05 6.28e-05 6.12e-05 6.50e-05
1e+10 0.00049  2.125  5.88e-05 2.23e-05 4.45e-05 5.88e-05 6.30e-05 6.57e-05 6.32e-05
1e+10 0.00049  2.175  5.88e-05 2.29e-05 4.67e-05 5.88e-05 6.57e-05 6.58e-05 6.76e-05
1e+10 0.00049  2.225  6.29e-05 2.40e-05 4.77e-05 6.52e-05 6.83e-05 7.09e-05 6.83e-05
1e+10 0.00049  2.275  6.28e-05 2.39e-05 5.07e-05 6.28e-05 6.91e-05 6.84e-05 7.14e-05
1e+10 0.00049  2.325  6.45e-05 2.49e-05 5.21e-05 6.73e-05 7.43e-05 7.42e-05 7.42e-05
1e+10 0.00049  2.375  6.83e-05 2.58e-05 5.21e-05 6.83e-05 7.20e-05 7.61e-05 7.34e-05
1e+10 0.00049  2.425  6.93e-05 2.64e-05 5.54e-05 7.11e-05 7.89e-05 7.58e-05 7.64e-05
1e+10 0.00049  2.475  7.43e-05 2.87e-05 5.61e-05 7.43e-05 7.82e-05 8.86e-05 9.24e-05
1e+10 0.00049  2.525  7.14e-05 2.92e-05 5.86e-05 7.65e-05 8.68e-05 9.80e-05 9.31e-05
1e+10 0.00049  2.575  7.96e-05 3.02e-05 6.12e-05 7.88e-05 1.03e-04 1.03e-04 1.04e-04
1e+10 0.00049  2.625  8.16e-05 3.19e-05 6.36e-05 8.23e-05 1.13e-04 1.09e-04 1.09e-04
1e+10 0.00049  2.675  8.66e-05 3.39e-05 6.52e-05 8.92e-05 1.14e-04 1.30e-04 1.32e-04
1e+10 0.00049  2.725  1.08e-04 3.45e-05 6.76e-05 1.13e-04 1.53e-04 1.46e-04 1.40e-04
1e+10 0.00049  2.775  1.13e-04 3.54e-05 7.05e-05 1.18e-04 1.65e-04 1.71e-04 1.71e-04
1e+10 0.00049  2.825  1.29e-04 3.68e-05 7.33e-05 1.35e-04 1.96e-04 1.91e-04 1.80e-04
1e+10 0.00049  2.875  1.69e-04 3.76e-05 7.80e-05 1.84e-04 2.19e-04 1.95e-04 1.81e-04
1e+10 0.00049  2.925  2.09e-04 4.01e-05 8.03e-05 2.22e-04 2.43e-04 2.22e-04 2.06e-04
1e+10 0.00049  2.975  2.69e-04 4.14e-05 8.44e-05 2.74e-04 2.48e-04 2.32e-04 2.19e-04
1e+10 0.00049  3.025  3.08e-04 4.32e-05 8.70e-05 2.86e-04 2.58e-04 2.29e-04 2.29e-04
1e+10 0.00049  3.075  3.27e-04 4.42e-05 9.04e-05 3.17e-04 2.81e-04 2.62e-04 2.43e-04
1e+10 0.00049  3.125  3.36e-04 4.68e-05 1.32e-04 3.22e-04 3.06e-04 2.76e-04 2.62e-04
1e+10 0.00049  3.175  3.57e-04 4.96e-05 1.48e-04 3.33e-04 3.37e-04 3.22e-04 3.06e-04
1e+10 0.00049  3.225  3.95e-04 5.02e-05 2.04e-04 3.79e-04 3.66e-04 3.31e-04 3.07e-04
1e+10 0.00049  3.275  4.12e-04 5.12e-05 3.68e-04 3.87e-04 3.84e-04 3.64e-04 3.64e-04
1e+10 0.00049  3.325  4.45e-04 5.54e-05 5.89e-04 4.25e-04 4.01e-04 3.81e-04 3.65e-04
1e+10 0.00049  3.375  4.64e-04 5.61e-05 5.12e-04 4.49e-04 4.79e-04 4.43e-04 3.89e-04
1e+10 0.00049  3.425  5.37e-04 5.53e-05 4.85e-04 5.09e-04 5.49e-04 5.22e-04 4.85e-04
1e+10 0.00049  3.475  6.02e-04 6.06e-05 4.75e-04 5.76e-04 5.52e-04 5.24e-04 5.50e-04
1e+10 0.00049  3.525  5.79e-04 6.29e-05 5.11e-04 5.78e-04 5.97e-04 5.53e-04 5.26e-04
1e+10 0.00049  3.575  6.51e-04 6.61e-05 5.14e-04 6.24e-04 6.69e-04 6.67e-04 5.92e-04
1e+10 0.00049  3.625  7.03e-04 6.61e-05 5.71e-04 6.70e-04 6.73e-04 6.39e-04 6.70e-04
1e+10 0.00049  3.675  6.76e-04 7.02e-05 6.02e-04 6.74e-04 6.96e-04 6.78e-04 6.73e-04
1e+10 0.00049  3.725  7.55e-04 7.25e-05 6.05e-04 7.40e-04 7.88e-04 7.57e-04 7.04e-04
1e+10 0.00049  3.775  8.22e-04 8.01e-05 6.72e-04 7.87e-04 8.59e-04 8.68e-04 8.15e-04
1e+10 0.00049  3.825  8.62e-04 7.84e-05 6.70e-04 8.60e-04 8.65e-04 8.63e-04 8.60e-04
1e+10 0.00049  3.875  8.27e-04 9.03e-05 7.07e-04 8.25e-04 8.85e-04 8.69e-04 8.66e-04
1e+10 0.00049  3.925  9.23e-04 8.92e-05 7.36e-04 9.07e-04 9.82e-04 9.49e-04 9.45e-04
1e+10 0.00049  3.975  9.47e-04 9.86e-05 7.94e-04 9.07e-04 9.51e-04 9.86e-04 9.83e-04
1e+10 0.00049  4.025  9.72e-04 9.79e-05 8.21e-04 9.70e-04 1.02e-03 1.03e-03 9.95e-04
1e+10 0.00049  4.075  1.00e-03 1.49e-04 7.85e-04 9.76e-04 1.04e-03 1.08e-03 1.09e-03
1e+10 0.00049  4.125  9.97e-04 2.07e-04 8.62e-04 1.04e-03 1.10e-03 1.08e-03 1.08e-03
1e+10 0.00049  4.175  1.09e-03 1.06e-03 9.07e-04 1.02e-03 1.17e-03 1.16e-03 1.13e-03
1e+10 0.00049  4.225  1.08e-03 7.19e-04 8.76e-04 1.12e-03 1.13e-03 1.17e-03 1.22e-03
1e+10 0.00049  4.275  1.15e-03 5.56e-04 9.47e-04 1.13e-03 1.28e-03 1.26e-03 1.22e-03
1e+10 0.00049  4.325  1.19e-03 5.29e-04 9.55e-04 1.18e-03 1.25e-03 1.30e-03 1.30e-03
1e+10 0.00049  4.375  1.15e-03 5.47e-04 9.65e-04 1.20e-03 1.30e-03 1.34e-03 1.36e-03
1e+10 0.00049  4.425  1.25e-03 5.47e-04 1.03e-03 1.23e-03 1.39e-03 1.45e-03 1.39e-03
1e+10 0.00049  4.475  1.34e-03 6.27e-04 1.04e-03 1.34e-03 1.45e-03 1.43e-03 1.46e-03
1e+10 0.00049  4.525  1.27e-03 6.57e-04 1.09e-03 1.35e-03 1.49e-03 1.55e-03 1.57e-03
1e+10 0.00049  4.575  1.42e-03 6.71e-04 1.10e-03 1.41e-03 1.50e-03 1.56e-03 1.62e-03
1e+10 0.00049  4.625  1.44e-03 7.02e-04 1.16e-03 1.43e-03 1.61e-03 1.67e-03 1.64e-03
1e+10 0.00049  4.675  1.44e-03 7.38e-04 1.16e-03 1.49e-03 1.66e-03 1.73e-03 1.72e-03
1e+10 0.00049  4.725  1.58e-03 7.44e-04 1.23e-03 1.58e-03 1.72e-03 1.79e-03 1.81e-03
1e+10 0.00049  4.775  1.53e-03 8.41e-04 1.21e-03 1.53e-03 1.80e-03 1.87e-03 1.85e-03
1e+10 0.00049  4.825  1.64e-03 8.61e-04 1.30e-03 1.71e-03 1.89e-03 1.89e-03 1.96e-03
1e+10 0.00049  4.875  1.67e-03 8.68e-04 1.31e-03 1.67e-03 1.85e-03 2.02e-03 2.07e-03
