#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        2.55000        19.54369        19.55851        19.31109        19.14486        19.54955        18.02279       -25.10125       -26.22514
        2.56000        19.55206        19.56597        19.31731        19.15114        19.55685        18.02894       -25.10268       -26.22656
        2.57000        19.56046        19.57347        19.32358        19.15747        19.56419        18.03513       -25.10403       -26.22792
        2.58000        19.56888        19.58104        19.32988        19.16383        19.57156        18.04136       -25.10531       -26.22920
        2.59000        19.57732        19.58865        19.33622        19.17023        19.57896        18.04763       -25.10652       -26.23041
        2.60000        19.58580        19.59632        19.34260        19.17666        19.58639        18.05395       -25.10765       -26.23154
        2.61000        19.59429        19.60405        19.34901        19.18313        19.59386        18.06030       -25.10872       -26.23261
        2.62000        19.60281        19.61183        19.35547        19.18964        19.60135        18.06669       -25.10972       -26.23360
        2.63000        19.61136        19.61966        19.36196        19.19618        19.60888        18.07312       -25.11064       -26.23453
        2.64000        19.61993        19.62755        19.36849        19.20275        19.61644        18.07958       -25.11150       -26.23539
        2.65000        19.62852        19.63548        19.37506        19.20935        19.62402        18.08608       -25.11229       -26.23618
        2.66000        19.63714        19.64348        19.38167        19.21598        19.63164        18.09262       -25.11301       -26.23690
        2.67000        19.64578        19.65152        19.38832        19.22264        19.63928        18.09919       -25.11367       -26.23755
        2.68000        19.65445        19.65961        19.39501        19.22934        19.64694        18.10580       -25.11425       -26.23814
        2.69000        19.66313        19.66776        19.40174        19.23606        19.65463        18.11244       -25.11478       -26.23866
        2.70000        19.67184        19.67596        19.40852        19.24282        19.66234        18.11912       -25.11523       -26.23912
        2.71000        19.68057        19.68420        19.41533        19.24960        19.67007        18.12584       -25.11562       -26.23951
        2.72000        19.68932        19.69250        19.42219        19.25640        19.67781        18.13259       -25.11595       -26.23984
        2.73000        19.69810        19.70085        19.42909        19.26323        19.68557        18.13938       -25.11621       -26.24010
        2.74000        19.70689        19.70924        19.43603        19.27008        19.69334        18.14620       -25.11641       -26.24030
        2.75000        19.71571        19.71769        19.44301        19.27695        19.70111        18.15306       -25.11655       -26.24043
        2.76000        19.72455        19.72618        19.45003        19.28385        19.70890        18.15996       -25.11662       -26.24051
        2.77000        19.73341        19.73472        19.45709        19.29077        19.71669        18.16689       -25.11663       -26.24052
        2.78000        19.74229        19.74331        19.46420        19.29771        19.72450        18.17385       -25.11658       -26.24047
        2.79000        19.75118        19.75195        19.47134        19.30467        19.73231        18.18085       -25.11647       -26.24036
        2.80000        19.76010        19.76063        19.47852        19.31166        19.74013        18.18788       -25.11630       -26.24019
        2.81000        19.76904        19.76935        19.48573        19.31868        19.74797        18.19495       -25.11607       -26.23996
        2.82000        19.77799        19.77812        19.49299        19.32572        19.75581        18.20205       -25.11578       -26.23966
        2.83000        19.78697        19.78693        19.50028        19.33279        19.76366        18.20918       -25.11543       -26.23932
        2.84000        19.79596        19.79578        19.50761        19.33988        19.77152        18.21635       -25.11502       -26.23891
        2.85000        19.80497        19.80468        19.51497        19.34700        19.77939        18.22354       -25.11455       -26.23844
        2.86000        19.81400        19.81361        19.52237        19.35414        19.78728        18.23077       -25.11403       -26.23792
        2.87000        19.82304        19.82259        19.52980        19.36130        19.79518        18.23803       -25.11345       -26.23734
